F00022+1231 00 02 16.3 +12 31 54 <  0.099 <  0.172     0.476 <   1.249 00 02 16.3 +12 31 58   722
F00073+2538 00 07 20.1 +25 38 56    0.590    1.240     8.770    14.960 00 07 18.4 +25 38 45    35
F00124-3929 00 12 27.2 -39 29 07    1.340    6.250    77.000   174.100 00 12 28.1 -39 29 09   112
F00129+1422 00 12 55.0 +14 22 35 <  0.093 <  0.110     0.265 <   1.124 00 12 57.7 +14 22 58    84
F00349+0916 00 34 55.8 +09 16 23 <  0.085 <  0.123     0.300     1.366 00 34 58.6 +09 16 55    27
F00400+4059 00 40 00.6 +40 59 47  163.200  107.700   536.200  2928.000 00 40 01.1 +40 59 50  2460
F00450-2533 00 45 05.7 -25 33 37   55.840  155.700   998.700  1862.000 00 45 05.7 -25 33 40  2980
F00460+3141 00 46 05.9 +31 41 04    0.308    0.835     1.290     1.549 00 46 04.9 +31 41 05   245
F00492+4716 00 49 14.6 +47 16 43    1.359    2.122    24.450    40.520 00 49 15.5 +47 16 44    63
F00506+7248 00 50 40.9 +72 48 57    0.765    3.718    22.370    26.680 00 50 40.8 +72 48 50    46
F00548+4331 00 54 51.6 +43 31 25    0.218    1.006     8.501    13.010 00 54 51.1 +43 31 20    30
F00550+3004 00 55 05.6 +30 04 50 <  0.080 <  0.150     0.270 <   0.706                       1820
F00567+2647 00 56 42.1 +26 47 32 <  0.124 <  0.134     0.661     0.847 00 56 42.2 +26 47 23    71
F01009-3241 01 00 57.5 -32 41 43 <  0.069 <  0.123     0.291 <   0.750 01 00 54.4 -32 42 02    92
F01046+3208 01 04 39.3 +32 08 32 <  0.110 <  0.083     0.442     1.196 01 04 39.2 +32 08 44  2170
F01053-1746 01 05 18.6 -17 46 32    0.980    3.430    22.190    30.320 01 05 19.5 -17 46 27    83
F01133+3249 01 13 19.4 +32 49 33 <  1.887    0.865     2.531     2.921 01 13 19.6 +32 49 32    32
F01171+0308 01 17 10.0 +03 08 52    0.410    1.380     7.090    12.010 01 17 09.8 +03 08 51    25
